review,sentiment
The performance of this product is slightly poor and the overall experience feels poor.,negative
This product has really weak performance and shows weak performance overall.,negative
This item delivers very useless design and an overall useless user experience.,negative
"In terms of performance, this product operates extremely reliable and feels reliable overall.",positive
The sound of this product is slightly reliable and the overall experience feels reliable.,positive
The quality of this product is slightly normal and the overall experience feels normal.,neutral
"In terms of display, this product operates really disappointing and feels disappointing overall.",negative
This product looks quite okay in terms of display and gives an overall okay experience.,neutral
The product behaves really frustrating with respect to performance and gives a frustrating experience.,negative
The performance of this product is quite fantastic and the overall experience feels fantastic.,positive
The product performs very bad with respect to build and gives a bad experience.,negative
The camera of this product is slightly reliable and the overall experience feels reliable.,positive
"In terms of quality, this product operates really awesome and feels awesome overall.",positive
This item delivers really brilliant speed and an overall brilliant user experience.,positive
This product works slightly brilliant in terms of quality and gives an overall brilliant experience.,positive
The product feels very fantastic with respect to quality and gives a fantastic experience.,positive
This product performs slightly defective in terms of speed and gives an overall defective experience.,negative
This product operates very decent in terms of design and gives an overall decent experience.,neutral
This product looks extremely standard in terms of performance and gives an overall standard experience.,neutral
The build of this product is extremely amazing and the overall experience feels amazing.,positive
This item delivers really wonderful design and an overall wonderful user experience.,positive
The camera of this product is slightly decent and the overall experience feels decent.,neutral
This product looks really poor in terms of quality and gives an overall poor experience.,negative
"In terms of build, this product behaves extremely awful and feels awful overall.",negative
"In terms of performance, this product works slightly poor and feels poor overall.",negative
The product operates very okay with respect to performance and gives a okay experience.,neutral
The product feels really amazing with respect to speed and gives a amazing experience.,positive
This item delivers really defective sound and an overall defective user experience.,negative
This item delivers quite okay performance and an overall okay user experience.,neutral
The product works very okay with respect to speed and gives a okay experience.,neutral
"In terms of performance, this product works really acceptable and feels acceptable overall.",neutral
"In terms of camera, this product performs very awesome and feels awesome overall.",positive
The product performs very smooth with respect to speed and gives a smooth experience.,positive
This product has very wonderful display and shows wonderful performance overall.,positive
The product operates quite good with respect to quality and gives a good experience.,positive
"In terms of battery life, this product operates extremely normal and feels normal overall.",neutral
"In terms of camera, this product performs quite smooth and feels smooth overall.",positive
This product has extremely regular display and shows regular performance overall.,neutral
This product has very fine design and shows fine performance overall.,neutral
This product has very perfect design and shows perfect performance overall.,positive
This item delivers extremely smooth camera and an overall smooth user experience.,positive
The product works quite defective with respect to performance and gives a defective experience.,negative
This product operates extremely moderate in terms of quality and gives an overall moderate experience.,neutral
This item delivers really standard speed and an overall standard user experience.,neutral
The durability of this product is slightly fair and the overall experience feels fair.,neutral
"In terms of display, this product performs slightly fast and feels fast overall.",positive
This item delivers extremely horrible battery life and an overall horrible user experience.,negative
This item delivers slightly poor speed and an overall poor user experience.,negative
This product has quite amazing speed and shows amazing performance overall.,positive
"In terms of performance, this product feels slightly fine and feels fine overall.",neutral
This product feels very regular in terms of design and gives an overall regular experience.,neutral
This product has extremely perfect camera and shows perfect performance overall.,positive
This item delivers extremely horrible build and an overall horrible user experience.,negative
This product has really awesome design and shows awesome performance overall.,positive
This product has slightly okay build and shows okay performance overall.,neutral
"In terms of sound, this product feels very fast and feels fast overall.",positive
This product has slightly good quality and shows good performance overall.,positive
The product operates slightly awesome with respect to camera and gives a awesome experience.,positive
This item delivers extremely weak display and an overall weak user experience.,negative
This product has quite okay camera and shows okay performance overall.,neutral
The product feels extremely excellent with respect to display and gives a excellent experience.,positive
"In terms of sound, this product feels quite acceptable and feels acceptable overall.",neutral
This product has quite disappointing design and shows disappointing performance overall.,negative
This product feels slightly excellent in terms of quality and gives an overall excellent experience.,positive
The product looks really fantastic with respect to sound and gives a fantastic experience.,positive
This product operates slightly good in terms of design and gives an overall good experience.,positive
This item delivers very okay battery life and an overall okay user experience.,neutral
This product performs extremely perfect in terms of quality and gives an overall perfect experience.,positive
"In terms of display, this product looks really frustrating and feels frustrating overall.",negative
"In terms of durability, this product operates really useless and feels useless overall.",negative
The product looks very poor with respect to sound and gives a poor experience.,negative
"In terms of camera, this product works slightly weak and feels weak overall.",negative
"In terms of durability, this product feels slightly decent and feels decent overall.",neutral
The design of this product is quite excellent and the overall experience feels excellent.,positive
This item delivers really cheap camera and an overall cheap user experience.,negative
The camera of this product is very slow and the overall experience feels slow.,negative
This product has really fair performance and shows fair performance overall.,neutral
This item delivers extremely amazing battery life and an overall amazing user experience.,positive
The quality of this product is quite disappointing and the overall experience feels disappointing.,negative
This product has quite average sound and shows average performance overall.,neutral
The camera of this product is quite fair and the overall experience feels fair.,neutral
This product performs very defective in terms of speed and gives an overall defective experience.,negative
This product has slightly brilliant battery life and shows brilliant performance overall.,positive
This product has slightly horrible display and shows horrible performance overall.,negative
This product behaves slightly useless in terms of camera and gives an overall useless experience.,negative
The display of this product is slightly reliable and the overall experience feels reliable.,positive
"In terms of durability, this product works extremely awful and feels awful overall.",negative
This product feels very bad in terms of design and gives an overall bad experience.,negative
The build of this product is extremely disappointing and the overall experience feels disappointing.,negative
"In terms of camera, this product works extremely wonderful and feels wonderful overall.",positive
The product feels quite fair with respect to quality and gives a fair experience.,neutral
This product has extremely disappointing sound and shows disappointing performance overall.,negative
"In terms of speed, this product performs very fast and feels fast overall.",positive
The product feels extremely acceptable with respect to design and gives a acceptable experience.,neutral
"In terms of battery life, this product looks very regular and feels regular overall.",neutral
"In terms of display, this product looks really fine and feels fine overall.",neutral
This product operates extremely smooth in terms of battery life and gives an overall smooth experience.,positive
The product behaves very average with respect to speed and gives a average experience.,neutral
This product has quite good build and shows good performance overall.,positive
The product feels really horrible with respect to design and gives a horrible experience.,negative
This product has quite fantastic build and shows fantastic performance overall.,positive
This product has slightly reliable design and shows reliable performance overall.,positive
"In terms of design, this product feels extremely okay and feels okay overall.",neutral
This item delivers very cheap durability and an overall cheap user experience.,negative
The product behaves extremely smooth with respect to camera and gives a smooth experience.,positive
This product has very awful display and shows awful performance overall.,negative
This product looks very amazing in terms of durability and gives an overall amazing experience.,positive
This item delivers really horrible camera and an overall horrible user experience.,negative
"In terms of sound, this product operates slightly fine and feels fine overall.",neutral
The quality of this product is extremely slow and the overall experience feels slow.,negative
"In terms of sound, this product works extremely regular and feels regular overall.",neutral
This product works slightly moderate in terms of display and gives an overall moderate experience.,neutral
This product performs very fair in terms of camera and gives an overall fair experience.,neutral
This item delivers really fair design and an overall fair user experience.,neutral
This product has very useless quality and shows useless performance overall.,negative
The product behaves quite fast with respect to durability and gives a fast experience.,positive
This product has quite bad performance and shows bad performance overall.,negative
This product performs extremely normal in terms of build and gives an overall normal experience.,neutral
The product behaves very terrible with respect to build and gives a terrible experience.,negative
"In terms of build, this product works quite regular and feels regular overall.",neutral
"In terms of durability, this product performs really average and feels average overall.",neutral
"In terms of build, this product behaves extremely frustrating and feels frustrating overall.",negative
This product has really normal durability and shows normal performance overall.,neutral
This item delivers slightly defective design and an overall defective user experience.,negative
"In terms of display, this product performs extremely great and feels great overall.",positive
This product has very frustrating display and shows frustrating performance overall.,negative
This product feels slightly fine in terms of camera and gives an overall fine experience.,neutral
The product works really perfect with respect to build and gives a perfect experience.,positive
"In terms of build, this product feels quite smooth and feels smooth overall.",positive
This item delivers very okay sound and an overall okay user experience.,neutral
This product has extremely fair build and shows fair performance overall.,neutral
The product behaves quite bad with respect to speed and gives a bad experience.,negative
"In terms of design, this product looks extremely average and feels average overall.",neutral
This product has quite wonderful display and shows wonderful performance overall.,positive
The product performs very fast with respect to design and gives a fast experience.,positive
The product performs quite excellent with respect to camera and gives a excellent experience.,positive
